| food_name                                                                              | energy_kj | energy_kcal | carb_g | protein_g | fat_g | freesugar_g | fibre_g |
| Moong bean dosa (Pesarattu)                                                            | 1190.04   | 285.96      | 31.91  | 12.32     | 11.67 | 2.9         | 6.04    |
| Methi thepla                                                                           | 1442.66   | 346.16      | 41.34  | 8.98      | 15.95 | 2.98        | 7.56    |
| Rice puttu (Ari puttu)                                                                 | 342.97    | 81.98       | 11.82  | 1.26      | 3.13  | 0.33        | 0.76    |
| Buckwheat pancake (Khura)                                                              | 1090.92   | 263.3       | 27.28  | 2.91      | 16.43 | 0.64        | 0.56    |
| Quinoa khichdi/khichri                                                                 | 267.19    | 64.01       | 8.83   | 3.18      | 1.59  | 0.69        | 2.58    |
| Khakhra chaat                                                                          | 1484.32   | 358.66      | 16.64  | 4.52      | 30.65 | 3.26        | 3.04    |
| Banana appam                                                                           | 1938.6    | 469.81      | 20.06  | 1.17      | 42.53 | 9.95        | 0.67    |
| Veg manchurian                                                                         | 2411.09   | 585.64      | 6.82   | 0.89      | 61.65 | 0.76        | 1.16    |
| Pav bhaji                                                                              | 401.63    | 96.53       | 11.99  | 2.66      | 4.32  | 2.06        | 1.98    |
| Rice murukku                                                                           | 2454.31   | 593.99      | 33.29  | 5.41      | 48.22 | 0.17        | 2.18    |
| Bhel puri                                                                              | 2104.69   | 509.89      | 16.47  | 3.52      | 47.91 | 3.41        | 2.24    |
| Semolina dhokla (Suji/Rava dhokla)                                                     | 814.09    | 194.91      | 30.86  | 5.44      | 5.2   | 1.85        | 5.12    |
| Spicy corn chaat                                                                       | 1982.01   | 479.8       | 11.45  | 4.61      | 46.55 | 0.95        | 2.17    |
| Jackfruit fritters (Ponsa mulik/Kathal ka pakora)                                      | 2467.55   | 597.79      | 24     | 2.34      | 54.41 | 11.48       | 1.5     |
| Banana chips (Kele ke chips)                                                           | 2739.08   | 665.67      | 7.32   | 0.37      | 70.46 | 4.37        | 0.65    |
| Wheat cake                                                                             | 1314.9    | 314.63      | 41.13  | 4.79      | 14.95 | 25.79       | 2.76    |
| Mango cheesecake                                                                       | 518.58    | 152.46      | 20.06  | 2.39      | 7.3   | 15.36       | 1.14    |
| Carrot cake (Gajar ka cake)                                                            | 1070.74   | 255.59      | 35.98  | 5.6       | 10.27 | 23.96       | 2.93    |
| Semolina cake (Suji/Rava cake)                                                         | 1564.42   | 374.14      | 31.32  | 6.58      | 25.18 | 18.86       | 5.37    |
| Finger millet cake (Ragi cake)                                                         | 1169.77   | 279.46      | 38.93  | 3.96      | 12.27 | 24.76       | 2.35    |
| Honey cake                                                                             | 1395.88   | 333.59      | 49.04  | 3.08      | 14.7  | 33.43       | 0.51    |
| Almond cardamom cake (Badam elaichi cake)                                              | 1488.45   | 356.35      | 34.53  | 7.18      | 21.36 | 18.06       | 2.35    |
| Tutti frutti cake                                                                      | 1454.1    | 347.72      | 52.94  | 4.49      | 12.68 | 28.08       | 0.85    |
| Ham and Bean soup                                                                      | 401.91    | 96.04       | 4.18   | 10.61     | 4.15  | 1.43        | 0.54    |
| Whey soup                                                                              | 287.4     | 68.91       | 6.26   | 3.45      | 3.34  | 5.87        | 0.84    |
| Bottle gourd soup (Ghiya/Lauki soup)                                                   | 95.36     | 23.05       | 1.16   | 0.45      | 1.79  | 0.39        | 0.96    |
| Baked potato soup                                                                      | 611.18    | 147.05      | 5.85   | 5.73      | 11.21 | 3.44        | 0.3     |
| Pumpkin soup                                                                           | 165.55    | 40.05       | 2.08   | 0.47      | 3.2   | 1.47        | 1.19    |
| Sweet corn soup                                                                        | 135.27    | 32.25       | 3.56   | 0.99      | 1.63  | 0.9         | 0.31    |
| Paneer soup                                                                            | 200.03    | 47.85       | 2.42   | 3.22      | 2.8   | 1.98        | 0.28    |
| Curried Cauliflower soup                                                               | 155.5     | 37.32       | 3.12   | 6.72      | 9.77  | 1.79        | 2.34    |
| Millet soup                                                                            | 234.39    | 55.99       | 8.22   | 11.26     | 12.57 | 1.45        | 2.82    |
| Lemon coriander soup                                                                   | 450.32    | 108.06      | 10.32  | 2.27      | 6.26  | 2.2         | 6.77    |
| Garlic soup                                                                            | 805.19    | 194.86      | 6.99   | 2.38      | 17.62 | 2.39        | 1.66    |
| Dal makhani                                                                            | 291.37    | 74.04       | 7.96   | 3.32      | 3.06  | 0.8         | 2.27    |
| Dalma                                                                                  | 500.97    | 118.93      | 15.04  | 4.91      | 4.58  | 3.1         | 2.16    |
| Split bengal gram dal (Channa dal)                                                     | 415.08    | 99.67       | 9.99   | 4.15      | 4.62  | 0.98        | 3.72    |
| Horsegram dal (Kulthi dal)                                                             | 232.25    | 55.65       | 8.21   | 2.91      | 1.13  | 0.72        | 1.52    |
| Panchmel dal                                                                           | 462.35    | 111.22      | 10.71  | 4.63      | 5.36  | 0.75        | 3.2     |
| Dal dhokli                                                                             | 287.33    | 68.74       | 8.55   | 2.96      | 2.47  | 1.12        | 1.86    |
| Gujarati handvo                                                                        | 865.12    | 207.09      | 31.86  | 8.24      | 4.8   | 2.51        | 4.95    |
| Sev (Omapodi/Karapusa)                                                                 | 2514.83   | 609.14      | 12.87  | 5.12      | 60.08 | 0.53        | 2.35    |
| Papdi                                                                                  | 2919.2    | 708.96      | 12.89  | 1.83      | 72.11 | 0.31        | 0.56    |
